record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
2018,BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,CA,small car,7,27/70,31/75,29/72,10,Elite
2018,BMW 530e,2.0,4.0,SemiAuto-8,2WD,Gasoline/Electricity,FA,small car,7,27/70,31/75,29/72,10,Elite
2018,BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,small car,7,27/66,31/68,28/67,10,Elite
2018,BMW 530e,2.0,4.0,SemiAuto-8,4WD,Gasoline/Electricity,FA,small car,7,27/66,31/68,28/67,10,Elite
2018,BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,CA,midsize car,7,24,34,27,6,No
2018,BMW 530i,2.0,4.0,SemiAuto-8,2WD,Gasoline,FA,midsize car,7,24,34,27,6,No
2018,BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,7,23,33,27,6,No
2018,BMW 530i,2.0,4.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,7,23,33,27,6,No
2018,BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,midsize car,5,21,30,24,5,No
2018,BMW 540i,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,midsize car,5,21,30,24,5,No
2018,BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,midsize car,5,20,29,23,5,No
2018,BMW 540i,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,midsize car,5,20,29,23,5,No
2018,BMW 640i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,small car,3,20,29,23,5,No
2018,BMW 640i Convertible,3.0,6.0,SemiAuto-8,2WD,Gasoline,FA,small car,3,20,29,23,5,No
2018,BMW 640i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,small car,3,19,28,22,4,No
2018,BMW 640i Convertible,3.0,6.0,SemiAuto-8,4WD,Gasoline,FA,small car,3,19,28,22,4,No
