,record_year,model,displ,cyl,trans,drive,fuel,cert_region,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
150,2018,BMW 440i Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21.0,32.0,25.0,5,No
151,2018,BMW 440i Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21.0,31.0,25.0,5,No
152,2018,BMW 440i Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21.0,31.0,25.0,5,No
153,2018,BMW 440i Gran Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,21.0,32.0,25.0,5,No
154,2018,BMW 440i Gran Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,21.0,32.0,25.0,5,No
155,2018,BMW 440i Gran Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,21.0,31.0,25.0,5,No
156,2018,BMW 440i Gran Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,21.0,31.0,25.0,5,No
157,2018,BMW 530i,2.0,40,SemiAuto-8,2WD,Gasoline,CA,midsize car,7.0,24.0,34.0,27.0,6,No
158,2018,BMW 530i,2.0,40,SemiAuto-8,2WD,Gasoline,FA,midsize car,7.0,24.0,34.0,27.0,6,No
159,2018,BMW 530i,2.0,40,SemiAuto-8,4WD,Gasoline,CA,midsize car,7.0,23.0,33.0,27.0,6,No
160,2018,BMW 530i,2.0,40,SemiAuto-8,4WD,Gasoline,FA,midsize car,7.0,23.0,33.0,27.0,6,No
161,2018,BMW 540i,3.0,60,SemiAuto-8,2WD,Gasoline,CA,midsize car,5.0,21.0,30.0,24.0,5,No
162,2018,BMW 540i,3.0,60,SemiAuto-8,2WD,Gasoline,FA,midsize car,5.0,21.0,30.0,24.0,5,No
163,2018,BMW 540i,3.0,60,SemiAuto-8,4WD,Gasoline,CA,midsize car,5.0,20.0,29.0,23.0,5,No
164,2018,BMW 540i,3.0,60,SemiAuto-8,4WD,Gasoline,FA,midsize car,5.0,20.0,29.0,23.0,5,No
165,2018,BMW 640i Convertible,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,20.0,29.0,23.0,5,No
166,2018,BMW 640i Convertible,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,20.0,29.0,23.0,5,No
167,2018,BMW 640i Convertible,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,19.0,28.0,22.0,4,No
168,2018,BMW 640i Convertible,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,19.0,28.0,22.0,4,No
169,2018,BMW 640i Gran Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,20.0,29.0,23.0,5,No
170,2018,BMW 640i Gran Coupe,3.0,60,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,20.0,29.0,23.0,5,No
171,2018,BMW 640i Gran Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,19.0,28.0,22.0,4,No
172,2018,BMW 640i Gran Coupe,3.0,60,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,19.0,28.0,22.0,4,No
173,2018,BMW 650i Convertible,4.4,80,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,17.0,25.0,20.0,4,No
174,2018,BMW 650i Convertible,4.4,80,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,17.0,25.0,20.0,4,No
175,2018,BMW 650i Convertible,4.4,80,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,16.0,25.0,19.0,3,No
176,2018,BMW 650i Convertible,4.4,80,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,16.0,25.0,19.0,3,No
177,2018,BMW 650i Gran Coupe,4.4,80,SemiAuto-8,2WD,Gasoline,CA,small car,3.0,17.0,25.0,20.0,4,No
178,2018,BMW 650i Gran Coupe,4.4,80,SemiAuto-8,2WD,Gasoline,FA,small car,3.0,17.0,25.0,20.0,4,No
179,2018,BMW 650i Gran Coupe,4.4,80,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,16.0,25.0,19.0,3,No
180,2018,BMW 650i Gran Coupe,4.4,80,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,16.0,25.0,19.0,3,No
181,2018,BMW 740i,3.0,60,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,21.0,29.0,24.0,5,No
182,2018,BMW 740i,3.0,60,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,21.0,29.0,24.0,5,No
183,2018,BMW 740i,3.0,60,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,20.0,29.0,23.0,5,No
184,2018,BMW 740i,3.0,60,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,20.0,29.0,23.0,5,No
185,2018,BMW 750i,4.4,80,SemiAuto-8,2WD,Gasoline,CA,large car,3.0,17.0,25.0,20.0,4,No
186,2018,BMW 750i,4.4,80,SemiAuto-8,2WD,Gasoline,FA,large car,3.0,17.0,25.0,20.0,4,No
187,2018,BMW 750i,4.4,80,SemiAuto-8,4WD,Gasoline,CA,large car,3.0,16.0,25.0,19.0,3,No
188,2018,BMW 750i,4.4,80,SemiAuto-8,4WD,Gasoline,FA,large car,3.0,16.0,25.0,19.0,3,No
189,2018,BMW Alpina B6 Gran Coupe,4.4,80,SemiAuto-8,4WD,Gasoline,CA,small car,3.0,16.0,25.0,19.0,3,No
190,2018,BMW Alpina B6 Gran Coupe,4.4,80,SemiAuto-8,4WD,Gasoline,FA,small car,3.0,16.0,25.0,19.0,3,No
